Minutes,Gender,AgeGroup,StridelengthCM
371,F,Older,104
336.9,F,Younger,106
321.7,F,Older,114
344.9,F,Older,116
280.7,F,Older,119
280.9,F,Younger,119
282.6,F,Younger,119
287.7,F,Younger,122
346.6,F,Older,123
318,F,Younger,124
300.7,F,Older,127
293,F,Younger,131
321,F,Older,132
261.8,F,Older,133
302.9,F,Older,134
277.7,F,Younger,134
283,F,Younger,134
298.7,F,Younger,135
259.9,F,Younger,138
269,F,Younger,138
259,F,Younger,143
266,F,Older,146
241.9,F,Older,148
254.9,F,Younger,148
244.9,F,Older,149
261,F,Younger,149
259,F,Older,150
233,F,Younger,151
270,F,Younger,152
233,F,Younger,153
233,F,Older,155
240,F,Older,155
230,F,Younger,155
240,F,Younger,155
242.6,F,Younger,155
213.8,F,Older,156
214.9,F,Older,156
230,F,Older,157
227.7,F,Younger,158
234.8,F,Younger,158
244.8,F,Younger,158
232,F,Older,159
252,F,Older,159
239.6,F,Younger,163
237,F,Younger,164
238,F,Younger,164
240.8,F,Younger,165
217.9,F,Younger,166
253,F,Younger,166
171.8,F,Younger,168
196.6,F,Younger,168
218.7,F,Older,171
191,F,Younger,172
207.9,F,Younger,182
199.6,F,Older,183
195,F,Younger,186
321.7,M,Older,103
334.8,M,Older,107
349,M,Older,109
339,M,Older,112
324,M,Older,113
334.9,M,Older,117
325.8,M,Older,118
282,M,Older,120
327,M,Older,120
302,M,Older,121
291,M,Older,122
288,M,Older,123
280.9,M,Younger,123
283.8,M,Younger,123
317,M,Older,124
310.9,M,Younger,124
322,M,Older,125
287,M,Younger,127
306.9,M,Younger,130
300,M,Older,131
291.9,M,Younger,131
261.6,M,Older,132
284.7,M,Older,133
313.6,M,Younger,133
275,M,Older,134
287.6,M,Older,134
259.6,M,Younger,134
283.7,M,Younger,134
258,M,Older,135
281,M,Older,135
306.7,M,Older,135
255.8,M,Younger,135
257,M,Younger,135
264,M,Older,136
266.7,M,Younger,136
263,M,Older,137
267,M,Older,137
267.9,M,Older,138
274.6,M,Older,138
279.9,M,Older,138
263,M,Younger,138
269.5,M,Younger,140
263.8,M,Older,144
255,M,Younger,144
257.7,M,Older,146
269,M,Older,146
268,M,Older,147
245.7,M,Younger,147
253.8,M,Older,148
235.5,M,Older,149
276,M,Older,149
228,M,Younger,149
231,M,Younger,149
267,M,Younger,149
249,M,Older,150
228.7,M,Younger,150
250.9,M,Younger,150
235,M,Older,151
249.9,M,Older,151
270,M,Older,151
265,M,Younger,151
227.5,M,Younger,152
230.8,M,Younger,152
236,M,Younger,152
237,M,Younger,152
253,M,Younger,152
255,M,Younger,152
224,M,Older,153
224.6,M,Older,153
239.6,M,Older,153
244.6,M,Younger,153
248.9,M,Younger,153
229.9,M,Younger,154
204.6,M,Younger,155
214.9,M,Younger,155
231.9,M,Younger,155
243,M,Older,156
214,M,Younger,156
217,M,Younger,156
244,M,Younger,156
253,M,Younger,156
229,M,Older,157
227.8,M,Younger,157
203.9,M,Older,158
233,M,Younger,158
201,M,Older,159
227,M,Older,159
243,M,Older,159
234,M,Younger,159
248.8,M,Younger,159
221.8,M,Older,160
253,M,Older,160
246,M,Older,161
251,M,Older,162
207,M,Older,163
215.9,M,Older,163
242.6,M,Younger,163
248.7,M,Older,164
155,M,Older,165
240.7,M,Older,165
189,M,Younger,165
235.8,M,Younger,165
251,M,Younger,165
220,M,Older,166
225.9,M,Younger,166
237.9,M,Younger,167
178.7,M,Older,168
210,M,Older,168
176,M,Younger,169
212,M,Younger,169
212,M,Younger,169
156.9,M,Older,170
196.9,M,Older,171
180,M,Older,172
208.9,M,Older,172
198,M,Younger,172
205.6,M,Younger,173
193.6,M,Older,174
208,M,Older,176
211,M,Younger,176
220,M,Younger,176
205.9,M,Older,177
208,M,Older,177
219.7,M,Younger,178
207,M,Older,180
212,M,Older,180
203.6,M,Younger,180
206.7,M,Younger,180
214,M,Younger,181
182.7,M,Older,182
207,M,Older,182
210.6,M,Older,182
203.7,M,Younger,183
179,M,Younger,184
188.9,M,Older,185
169.7,M,Younger,185
198.9,M,Older,187
188.7,M,Younger,187
161,M,Younger,188
197.6,M,Younger,189
165.6,M,Younger,190
190,M,Older,193
176,M,Younger,193
198.9,M,Younger,195
